time_stamp.mountain,WS.m/s,WD.degree,N,NE,E,SE,S,SW,W,NW
2025-05-19 12:00:00,3,210,0.0021610742621324826,1.2011173556652757e-09,0.0,0.0,0.0,0.0,0.0,1.2464253764941788
2025-05-19 12:01:00,3,210,0.002857245053182071,1.6759777055794543e-09,0.0,0.0,0.0,0.0,0.0,1.4042879001993085
2025-05-19 12:02:00,3,210,0.002857245053182071,1.6759777055794543e-09,0.0,0.0,0.0,0.0,0.0,1.4042879001993085
2025-05-19 12:03:00,3,210,0.002857245053182071,1.6759777055794543e-09,0.0,0.0,0.0,0.0,0.0,1.4042879001993085
2025-05-19 12:04:00,3,210,0.002857245053182071,1.6759777055794543e-09,0.0,0.0,0.0,0.0,0.0,1.4042879001993085
2025-05-19 12:05:00,3,210,0.002857245053182071,1.6759777055794543e-09,0.0,0.0,0.0,0.0,0.0,1.4042879001993085
2025-05-19 12:06:00,3,210,0.002857245053182071,1.6759777055794543e-09,0.0,0.0,0.0,0.0,0.0,1.4042879001993085
2025-05-19 12:07:00,3,210,0.002857245053182071,1.6759777055794543e-09,0.0,0.0,0.0,0.0,0.0,1.4042879001993085
2025-05-19 12:08:00,3,210,0.002857245053182071,1.6759777055794543e-09,0.0,0.0,0.0,0.0,0.0,1.4042879001993085
2025-05-19 12:09:00,3,210,0.002857245053182071,1.6759777055794543e-09,0.0,0.0,0.0,0.0,0.0,1.4042879001993085
2025-05-19 12:10:00,3,210,0.002857245053182071,1.6759777055794543e-09,0.0,0.0,0.0,0.0,0.0,1.4042879001993085
2025-05-19 12:11:00,3,210,0.002857245053182071,1.6759777055794543e-09,0.0,0.0,0.0,0.0,0.0,1.4042879001993085
2025-05-19 12:12:00,3,210,0.002857245053182071,1.6759777055794543e-09,0.0,0.0,0.0,0.0,0.0,1.4042879001993085
2025-05-19 12:13:00,3,210,0.002857245053182071,1.6759777055794543e-09,0.0,0.0,0.0,0.0,0.0,1.4042879001993085
2025-05-19 12:14:00,3,210,0.002857245053182071,1.6759777055794543e-09,0.0,0.0,0.0,0.0,0.0,1.4042879001993085
2025-05-19 12:15:00,3,210,0.002857245053182071,1.6759777055794543e-09,0.0,0.0,0.0,0.0,0.0,1.4042879001993085
2025-05-19 12:16:00,3,210,0.002857245053182071,1.6759777055794543e-09,0.0,0.0,0.0,0.0,0.0,1.4042879001993085
2025-05-19 12:17:00,3,210,0.002857245053182071,1.6759777055794543e-09,0.0,0.0,0.0,0.0,0.0,1.4042879001993085
2025-05-19 12:18:00,3,210,0.002857245053182071,1.6759777055794543e-09,0.0,0.0,0.0,0.0,0.0,1.4042879001993085
2025-05-19 12:19:00,3,210,0.002857245053182071,1.6759777055794543e-09,0.0,0.0,0.0,0.0,0.0,1.4042879001993085
2025-05-19 12:20:00,3,210,0.002857245053182071,1.6759777055794543e-09,0.0,0.0,0.0,0.0,0.0,1.4042879001993085
